Month,U.S. Gulf Coast Kerosene-Type Jet Fuel Spot Price FOB Dollars per Gallon
Jan-25,2.347
Dec-24,2.097
Nov-24,2.065
Oct-24,2.068
Sep-24,1.982
Aug-24,2.176
Jul-24,2.419
Jun-24,2.394
May-24,2.38
Apr-24,2.605
Mar-24,2.593
Feb-24,2.683
Jan-24,2.585
Dec-23,2.387
Nov-23,2.734
Oct-23,2.881
Sep-23,3.12
Aug-23,2.989
Jul-23,2.488
Jun-23,2.25
May-23,2.173
Apr-23,2.374
Mar-23,2.679
Feb-23,2.79
Jan-23,3.542
Dec-22,2.897
Nov-22,3.16
Oct-22,3.715
Sep-22,3.262
Aug-22,3.339
Jul-22,3.478
Jun-22,4.12
May-22,3.902
Apr-22,3.914
Mar-22,3.495
Feb-22,2.682
Jan-22,2.446
Dec-21,2.095
Nov-21,2.193
Oct-21,2.296
Sep-21,2.003
Aug-21,1.817
Jul-21,1.887
Jun-21,1.857
May-21,1.752
Apr-21,1.669
Mar-21,1.661
Feb-21,1.601
Jan-21,1.42
Dec-20,1.324
Nov-20,1.133
Oct-20,1.047
Sep-20,1.006
Aug-20,1.112
Jul-20,1.084
Jun-20,0.983
May-20,0.686
Apr-20,0.606
Mar-20,0.953
Feb-20,1.509
Jan-20,1.77
Dec-19,1.893
Nov-19,1.824
Oct-19,1.861
Sep-19,1.874
Aug-19,1.8
Jul-19,1.913
Jun-19,1.817
May-19,1.972
Apr-19,1.977
Mar-19,1.902
Feb-19,1.914
Jan-19,1.784
Dec-18,1.696
Nov-18,1.945
Oct-18,2.249
Sep-18,2.189
Aug-18,2.118
Jul-18,2.098
Jun-18,2.09
May-18,2.155
Apr-18,2.015
Mar-18,1.858
Feb-18,1.849
Jan-18,1.952
Dec-17,1.817
Nov-17,1.76
Oct-17,1.659
Sep-17,1.8
Aug-17,1.561
Jul-17,1.417
Jun-17,1.295
May-17,1.412
Apr-17,1.51
Mar-17,1.445
Feb-17,1.547
Jan-17,1.514
Dec-16,1.491
Nov-16,1.356
Oct-16,1.457
Sep-16,1.319
Aug-16,1.295
Jul-16,1.272
Jun-16,1.382
May-16,1.299
Apr-16,1.147
Mar-16,1.069
Feb-16,0.973
Jan-16,0.93
Dec-15,1.082
Nov-15,1.326
Oct-15,1.391
Sep-15,1.395
Aug-15,1.389
Jul-15,1.549
Jun-15,1.732
May-15,1.849
Apr-15,1.702
Mar-15,1.629
Feb-15,1.766
Jan-15,1.496
Dec-14,1.801
Nov-14,2.297
Oct-14,2.46
Sep-14,2.729
Aug-14,2.839
Jul-14,2.817
Jun-14,2.883
May-14,2.868
Apr-14,2.888
Mar-14,2.89
Feb-14,2.965
Jan-14,2.921
Dec-13,2.955
Nov-13,2.83
Oct-13,2.885
Sep-13,2.934
Aug-13,3.003
Jul-13,2.894
Jun-13,2.769
May-13,2.725
Apr-13,2.808
Mar-13,2.969
Feb-13,3.218
Jan-13,3.091
Dec-12,2.94
Nov-12,2.96
Oct-12,3.111
Sep-12,3.191
Aug-12,3.156
Jul-12,2.892
Jun-12,2.678
May-12,2.974
Apr-12,3.226
Mar-12,3.256
Feb-12,3.207
Jan-12,3.087
Dec-11,2.873
Nov-11,3.046
Oct-11,2.966
Sep-11,2.948
Aug-11,3.008
Jul-11,3.131
Jun-11,3.046
May-11,3.085
Apr-11,3.267
Mar-11,3.125
Feb-11,2.839
Jan-11,2.619
Dec-10,2.453
Nov-10,2.323
Oct-10,2.248
Sep-10,2.114
Aug-10,2.083
Jul-10,2.019
Jun-10,2.058
May-10,2.063
